activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
35511,CHEMBL618475,CHEMBL68366,CL,mL.min-1.kg-1,=,12.0,CHEMBL373,Canis lupus familiaris,Plasma clearance of compound was determined in dog,A,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,12.0,mL.min-1.kg-1,species_only_dog
35917,CHEMBL875835,CHEMBL262384,CL,mL.min-1.kg-1,=,20.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CN1CC(=O)N(CC(=O)NCc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)C1=O,20.0,mL.min-1.kg-1,species_only_dog
35919,CHEMBL875835,CHEMBL284688,CL,mL.min-1.kg-1,=,20.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CC1(C)NC(=O)N(CC(=O)NCc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)C1=O,20.0,mL.min-1.kg-1,species_only_dog
37109,CHEMBL875835,CHEMBL282781,CL,mL.min-1.kg-1,=,7.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CS(=O)(=O)N1CCN(Cc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)CC1,7.0,mL.min-1.kg-1,species_only_dog
38808,CHEMBL646695,CHEMBL129064,CL,mL.min-1.kg-1,=,46.0,CHEMBL373,Canis lupus familiaris,Pharmacokinetic parameter clearance in dog was reported in Cassette dosage,A,CC(C)C1C(=O)N(S(C)(=O)=O)C2CCN(C(=O)c3ccc(CNC4CC4)nc3)C12,46.0,mL.min-1.kg-1,species_only_dog
38814,CHEMBL646695,CHEMBL338332,CL,mL.min-1.kg-1,=,20.0,CHEMBL373,Canis lupus familiaris,Pharmacokinetic parameter clearance in dog was reported in Cassette dosage,A,CC(C)C1C(=O)N(S(C)(=O)=O)C2CCN(C(=O)/C=C/CN3CCCCC3)C12,20.0,mL.min-1.kg-1,species_only_dog
38815,CHEMBL646696,CHEMBL338332,CL,mL.min-1.kg-1,=,19.0,CHEMBL373,Canis lupus familiaris,Pharmacokinetic parameter clearance in dog was reported in Discrete dosage,A,CC(C)C1C(=O)N(S(C)(=O)=O)C2CCN(C(=O)/C=C/CN3CCCCC3)C12,19.0,mL.min-1.kg-1,species_only_dog
39103,CHEMBL618475,CHEMBL303673,CL,mL.min-1.kg-1,=,38.0,CHEMBL373,Canis lupus familiaris,Plasma clearance of compound was determined in dog,A,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,38.0,mL.min-1.kg-1,species_only_dog
41903,CHEMBL875835,CHEMBL28627,CL,mL.min-1.kg-1,=,11.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CC(=O)N1CCN(Cc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)CC1,11.0,mL.min-1.kg-1,species_only_dog
41906,CHEMBL875835,CHEMBL31213,CL,mL.min-1.kg-1,=,15.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CN(Cc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1)C(=O)CN1C(=O)CNC1=O,15.0,mL.min-1.kg-1,species_only_dog
